,0
"Carcassonne: Wheel of Fortune, Mists over Carcassonne, Nebel über Carcassonne: Die Bannkreise, Carcassonne: Wheel of Fortune, Mists over Carcassonne, Nebel über Carcassonne: Die Bannkreise",36
"Dead of Winter: The Long Night, Dead of Winter: The Long Night",37
"Aeon's End, Aeon's End: Legacy of Gravehold, Aeon's End: Outcasts, Aeon's End: The Descent, Aeon's End: The New Age, Aeon's End: War Eternal, Aeon's End, Aeon's End: Legacy of Gravehold, Aeon's End: Outcasts, Aeon's End: The Descent, Aeon's End: The New Age, Aeon's End: War Eternal",38
"Star Realms, Star Realms, Star Realms: Deluxe Nova Collection, Star Realms: Frontiers, Star Realms: Rise of Empire, Звёздные империи. Подарочное издание (Star Realms. Gift Edition), Star Realms, Star Realms, Star Realms: Deluxe Nova Collection, Star Realms: Frontiers, Star Realms: Rise of Empire, Звёздные империи. Подарочное издание (Star Realms. Gift Edition)",39
"Pursuit of Glory, Pursuit of Glory",40
"DVONN, GIPF, LYNGK, PÜNCT, TAMSK, TZAAR, YINSH, ZÈRTZ, DVONN, GIPF, LYNGK, PÜNCT, TAMSK, TZAAR, YINSH, ZÈRTZ",41
"Above and Below, Above and Below",42
"Duelosaur Island, Duelosaur Island",43
"Codenames, Codenames: Deep Undercover, Codenames: Pictures, Codenames, Codenames: Deep Undercover, Codenames: Pictures",44
"Legendary: A Marvel Deck Building Game - Marvel Studios, Phase 1, Legendary: A Marvel Deck Building Game - Marvel Studios' What If...?, Legendary: A Marvel Deck Building Game - Villains, Legendary: A Marvel Deck Building Game - Marvel Studios, Phase 1, Legendary: A Marvel Deck Building Game - Marvel Studios' What If...?, Legendary: A Marvel Deck Building Game - Villains",45
"Century: Golem Edition - An Endless World, Century: Golem Edition - Eastern Mountains, Century: Golem Edition - An Endless World, Century: Golem Edition - Eastern Mountains",46
